# s [m_b^2],Re disc 2-loop,Im disc 2-loop,Re disc fit,Im disc fit
-0.09990,-0.00000,0.00000,0.00000,0.00000
-0.09539,-0.00000,0.00000,0.00000,0.00000
-0.09087,-0.00000,0.00000,0.00000,0.00000
-0.08636,-0.00000,0.00000,0.00000,0.00000
-0.08184,-0.00000,0.00000,0.00000,0.00000
-0.07733,-0.00000,0.00000,0.00000,0.00000
-0.07281,-0.00000,0.00000,0.00000,0.00000
-0.06830,-0.00000,0.00000,0.00000,0.00000
-0.06378,-0.00000,0.00000,0.00000,0.00000
-0.05927,-0.00000,0.00000,0.00000,0.00000
-0.05475,-0.00000,0.00000,0.00000,0.00000
-0.05024,-0.00000,0.00000,0.00000,0.00000
-0.04572,-0.00000,0.00000,0.00000,0.00000
-0.04121,-0.00000,0.00000,0.00000,0.00000
-0.03669,-0.00000,0.00000,0.00000,0.00000
-0.03218,-0.00000,0.00000,0.00000,0.00000
-0.02766,-0.00000,0.00000,0.00000,0.00000
-0.02315,-0.00000,0.00000,0.00000,0.00000
-0.01864,-0.00000,0.00000,0.00000,0.00000
-0.01412,-0.00000,0.00000,0.00000,0.00000
-0.00961,-0.00000,0.00000,0.00000,0.00000
-0.00509,-0.00000,0.00000,0.00000,0.00000
-0.00058,-0.00000,0.00000,0.00000,0.00000
0.00394,-0.00258,0.00097,-0.00258,0.00097
0.00845,-0.00554,0.00211,-0.00554,0.00211
0.01297,-0.00851,0.00330,-0.00851,0.00330
0.01748,-0.01147,0.00452,-0.01147,0.00452
0.02200,-0.01444,0.00579,-0.01444,0.00579
0.02651,-0.01741,0.00709,-0.01741,0.00709
0.03103,-0.02037,0.00844,-0.02038,0.00844
0.03554,-0.02334,0.00983,-0.02334,0.00983
0.04006,-0.02631,0.01126,-0.02631,0.01127
0.04457,-0.02927,0.01274,-0.02927,0.01274
0.04909,-0.03223,0.01426,-0.03223,0.01426
0.05360,-0.03519,0.01583,-0.03519,0.01583
0.05812,-0.03815,0.01744,-0.03815,0.01744
0.06263,-0.04110,0.01909,-0.04110,0.01910
0.06714,-0.04404,0.02080,-0.04404,0.02080
0.07166,-0.04698,0.02254,-0.04698,0.02255
0.07617,-0.04991,0.02434,-0.04991,0.02434
0.08069,-0.05283,0.02618,-0.05284,0.02618
0.08520,-0.05575,0.02807,-0.05575,0.02808
0.08972,-0.05865,0.03001,-0.05866,0.03002
0.09423,-0.06155,0.03200,-0.06155,0.03200
0.09875,-0.06443,0.03404,-0.06443,0.03404
0.10326,-0.06730,0.03613,-0.06730,0.03613
0.10778,-0.07016,0.03827,-0.07016,0.03827
0.11229,-0.07300,0.04046,-0.07300,0.04046
0.11681,-0.07582,0.04270,-0.07583,0.04270
0.12132,-0.07863,0.04499,-0.07864,0.04499
0.12584,-0.08143,0.04734,-0.08143,0.04734
0.13035,-0.08420,0.04973,-0.08420,0.04973
0.13487,-0.08695,0.05218,-0.08695,0.05219
0.13938,-0.08968,0.05469,-0.08969,0.05469
0.14389,-0.09239,0.05725,-0.09239,0.05725
0.14841,-0.09507,0.05986,-0.09508,0.05986
0.15292,-0.09773,0.06252,-0.09773,0.06253
0.15744,-0.10036,0.06525,-0.10037,0.06525
0.16195,-0.10297,0.06802,-0.10297,0.06802
0.16647,-0.10554,0.07085,-0.10554,0.07086
0.17098,-0.10808,0.07374,-0.10809,0.07374
0.17550,-0.11059,0.07668,-0.11059,0.07669
0.18001,-0.11307,0.07968,-0.11307,0.07968
0.18453,-0.11551,0.08274,-0.11551,0.08274
0.18904,-0.11791,0.08585,-0.11791,0.08585
0.19356,-0.12027,0.08901,-0.12027,0.08902
0.19807,-0.12259,0.09224,-0.12260,0.09224
0.20259,-0.12487,0.09552,-0.12487,0.09552
0.20710,-0.12710,0.09885,-0.12711,0.09885
0.21162,-0.12929,0.10224,-0.12929,0.10225
0.21613,-0.13143,0.10569,-0.13143,0.10569
0.22064,-0.13351,0.10919,-0.13351,0.10920
0.22516,-0.13555,0.11275,-0.13555,0.11276
0.22967,-0.13753,0.11637,-0.13752,0.11638
0.23419,-0.13945,0.12004,-0.13946,0.12004
0.23870,-0.14132,0.12376,-0.14131,0.12377
0.24322,-0.14312,0.12754,-0.14313,0.12754
0.24773,-0.14486,0.13137,-0.14486,0.13138
0.25225,-0.14653,0.13525,-0.14654,0.13525
0.25676,-0.14814,0.13919,-0.14814,0.13920
0.26128,-0.14968,0.14317,-0.14968,0.14317
0.26579,-0.15114,0.14721,-0.15114,0.14722
0.27031,-0.15253,0.15130,-0.15253,0.15129
0.27482,-0.15384,0.15543,-0.15384,0.15544
0.27934,-0.15507,0.15961,-0.15507,0.15961
0.28385,-0.15622,0.16384,-0.15622,0.16385
0.28837,-0.15728,0.16811,-0.15728,0.16810
0.29288,-0.15825,0.17243,-0.15825,0.17244
0.29739,-0.15913,0.17678,-0.15914,0.17677
0.30191,-0.15992,0.18118,-0.15993,0.18119
0.30642,-0.16062,0.18561,-0.16062,0.18560
0.31094,-0.16121,0.19008,-0.16122,0.19009
0.31545,-0.16171,0.19458,-0.16170,0.19457
0.31997,-0.16210,0.19911,-0.16210,0.19912
0.32448,-0.16238,0.20367,-0.16237,0.20366
0.32900,-0.16255,0.20826,-0.16256,0.20827
0.33351,-0.16261,0.21287,-0.16259,0.21286
0.33803,-0.16255,0.21750,-0.16257,0.21751
0.34254,-0.16238,0.22215,-0.16236,0.22214
