# s [m_b^2],Im disc 2-loop,Im disc fit
3.70010,-0.00000,0.00000
3.72117,-0.00000,0.00000
3.74224,-0.00000,0.00000
3.76331,-0.00000,0.00000
3.78438,-0.00000,0.00000
3.80545,-0.00000,0.00000
3.82652,-0.00000,0.00000
3.84759,-0.00000,0.00000
3.86866,-0.00000,0.00000
3.88973,-0.00000,0.00000
3.91080,-0.00000,0.00000
3.93187,-0.00000,0.00000
3.95294,-0.00000,0.00000
3.97401,-0.00000,0.00000
3.99508,-0.00000,0.00000
4.01615,-0.11851,-0.11845
4.03722,-0.18035,-0.18026
4.05829,-0.22622,-0.22611
4.07936,-0.26454,-0.26442
4.10043,-0.29822,-0.29810
4.12150,-0.32868,-0.32855
4.14257,-0.35673,-0.35660
4.16364,-0.38290,-0.38277
4.18471,-0.40753,-0.40740
4.20578,-0.43088,-0.43076
4.22685,-0.45315,-0.45303
4.24792,-0.47447,-0.47435
4.26899,-0.49496,-0.49485
4.29006,-0.51472,-0.51462
4.31113,-0.53383,-0.53373
4.33220,-0.55233,-0.55224
4.35327,-0.57030,-0.57021
4.37434,-0.58776,-0.58768
4.39541,-0.60477,-0.60470
4.41648,-0.62136,-0.62129
4.43755,-0.63755,-0.63748
4.45862,-0.65336,-0.65331
4.47969,-0.66884,-0.66879
4.50076,-0.68398,-0.68394
4.52183,-0.69882,-0.69878
4.54290,-0.71336,-0.71333
4.56397,-0.72763,-0.72761
4.58504,-0.74164,-0.74162
4.60611,-0.75539,-0.75538
4.62718,-0.76891,-0.76890
4.64825,-0.78220,-0.78219
4.66932,-0.79526,-0.79526
4.69039,-0.80812,-0.80812
4.71146,-0.82077,-0.82078
4.73253,-0.83322,-0.83324
4.75359,-0.84549,-0.84551
4.77466,-0.85758,-0.85760
4.79573,-0.86949,-0.86951
4.81680,-0.88123,-0.88126
4.83787,-0.89280,-0.89284
4.85894,-0.90422,-0.90426
4.88001,-0.91548,-0.91552
4.90108,-0.92660,-0.92664
4.92215,-0.93756,-0.93761
4.94322,-0.94839,-0.94843
4.96429,-0.95907,-0.95912
4.98536,-0.96963,-0.96968
5.00643,-0.98005,-0.98010
5.02750,-0.99034,-0.99040
5.04857,-1.00051,-1.00057
5.06964,-1.01056,-1.01062
5.09071,-1.02049,-1.02055
5.11178,-1.03031,-1.03037
5.13285,-1.04001,-1.04007
5.15392,-1.04960,-1.04967
5.17499,-1.05909,-1.05915
5.19606,-1.06847,-1.06853
5.21713,-1.07774,-1.07781
5.23820,-1.08692,-1.08698
5.25927,-1.09599,-1.09606
5.28034,-1.10497,-1.10504
5.30141,-1.11385,-1.11392
5.32248,-1.12264,-1.12271
5.34355,-1.13134,-1.13141
5.36462,-1.13995,-1.14002
5.38569,-1.14848,-1.14854
5.40676,-1.15691,-1.15698
5.42783,-1.16526,-1.16533
5.44890,-1.17353,-1.17360
5.46997,-1.18172,-1.18178
5.49104,-1.18982,-1.18989
5.51211,-1.19785,-1.19791
5.53318,-1.20580,-1.20586
5.55425,-1.21367,-1.21374
5.57532,-1.22147,-1.22153
5.59639,-1.22920,-1.22926
5.61746,-1.23685,-1.23691
5.63853,-1.24443,-1.24449
5.65960,-1.25194,-1.25200
5.68067,-1.25939,-1.25944
5.70174,-1.26676,-1.26682
5.72281,-1.27407,-1.27413
5.74388,-1.28131,-1.28137
5.76495,-1.28849,-1.28854
5.78602,-1.29561,-1.29566
5.80709,-1.30266,-1.30271
5.82816,-1.30965,-1.30970
5.84923,-1.31658,-1.31663
5.87030,-1.32345,-1.32349
5.89137,-1.33026,-1.33030
5.91244,-1.33701,-1.33705
5.93351,-1.34371,-1.34375
5.95458,-1.35034,-1.35038
5.97565,-1.35693,-1.35696
5.99672,-1.36345,-1.36349
6.01779,-1.36993,-1.36996
6.03886,-1.37635,-1.37638
6.05993,-1.38271,-1.38275
6.08100,-1.38903,-1.38906
6.10207,-1.39529,-1.39532
6.12314,-1.40151,-1.40154
6.14421,-1.40767,-1.40770
6.16528,-1.41379,-1.41381
6.18635,-1.41985,-1.41987
6.20742,-1.42587,-1.42589
6.22849,-1.43184,-1.43186
6.24956,-1.43776,-1.43778
6.27063,-1.44364,-1.44366
6.29170,-1.44947,-1.44949
6.31277,-1.45526,-1.45527
6.33384,-1.46100,-1.46101
6.35491,-1.46670,-1.46671
6.37598,-1.47236,-1.47236
6.39705,-1.47797,-1.47798
6.41812,-1.48354,-1.48354
6.43919,-1.48907,-1.48907
6.46026,-1.49455,-1.49456
6.48133,-1.50000,-1.50000
6.50240,-1.50541,-1.50541
6.52347,-1.51077,-1.51077
6.54454,-1.51610,-1.51610
6.56561,-1.52139,-1.52138
6.58668,-1.52664,-1.52663
6.60775,-1.53185,-1.53184
6.62882,-1.53703,-1.53702
6.64989,-1.54216,-1.54215
6.67096,-1.54726,-1.54725
6.69203,-1.55233,-1.55232
6.71310,-1.55736,-1.55734
6.73417,-1.56235,-1.56234
6.75524,-1.56731,-1.56729
6.77631,-1.57223,-1.57222
6.79738,-1.57712,-1.57711
6.81845,-1.58198,-1.58196
6.83952,-1.58680,-1.58678
6.86058,-1.59159,-1.59157
6.88165,-1.59635,-1.59632
6.90272,-1.60107,-1.60105
6.92379,-1.60576,-1.60574
6.94486,-1.61042,-1.61040
6.96593,-1.61505,-1.61503
6.98700,-1.61965,-1.61962
7.00807,-1.62422,-1.62419
7.02914,-1.62875,-1.62873
7.05021,-1.63326,-1.63323
7.07128,-1.63774,-1.63771
7.09235,-1.64219,-1.64216
7.11342,-1.64661,-1.64657
7.13449,-1.65100,-1.65096
7.15556,-1.65536,-1.65532
7.17663,-1.65969,-1.65966
7.19770,-1.66399,-1.66396
7.21877,-1.66827,-1.66824
7.23984,-1.67252,-1.67249
7.26091,-1.67675,-1.67671
7.28198,-1.68094,-1.68090
7.30305,-1.68511,-1.68507
7.32412,-1.68925,-1.68922
7.34519,-1.69337,-1.69333
7.36626,-1.69746,-1.69742
7.38733,-1.70153,-1.70149
7.40840,-1.70557,-1.70553
7.42947,-1.70959,-1.70954
7.45054,-1.71358,-1.71353
7.47161,-1.71754,-1.71750
7.49268,-1.72148,-1.72144
7.51375,-1.72540,-1.72536
7.53482,-1.72930,-1.72925
7.55589,-1.73317,-1.73312
7.57696,-1.73701,-1.73697
7.59803,-1.74084,-1.74079
7.61910,-1.74464,-1.74460
7.64017,-1.74842,-1.74837
7.66124,-1.75217,-1.75213
7.68231,-1.75591,-1.75586
7.70338,-1.75962,-1.75957
7.72445,-1.76331,-1.76326
7.74552,-1.76698,-1.76693
7.76659,-1.77062,-1.77058
7.78766,-1.77425,-1.77420
7.80873,-1.77785,-1.77780
7.82980,-1.78143,-1.78139
7.85087,-1.78500,-1.78495
7.87194,-1.78854,-1.78849
7.89301,-1.79206,-1.79201
7.91408,-1.79556,-1.79551
7.93515,-1.79904,-1.79899
7.95622,-1.80250,-1.80246
7.97729,-1.80594,-1.80590
7.99836,-1.80937,-1.80932
8.01943,-1.81277,-1.81272
8.04050,-1.81615,-1.81611
8.06157,-1.81952,-1.81947
8.08264,-1.82286,-1.82282
8.10371,-1.82619,-1.82614
8.12478,-1.82950,-1.82945
8.14585,-1.83279,-1.83274
8.16692,-1.83606,-1.83602
8.18799,-1.83932,-1.83927
8.20906,-1.84255,-1.84251
8.23013,-1.84577,-1.84573
8.25120,-1.84897,-1.84893
8.27227,-1.85216,-1.85211
8.29334,-1.85532,-1.85528
8.31441,-1.85847,-1.85843
8.33548,-1.86160,-1.86156
8.35655,-1.86472,-1.86468
8.37762,-1.86782,-1.86778
8.39869,-1.87090,-1.87086
8.41976,-1.87397,-1.87393
8.44083,-1.87702,-1.87698
8.46190,-1.88005,-1.88001
8.48297,-1.88307,-1.88303
8.50404,-1.88607,-1.88603
8.52511,-1.88906,-1.88902
8.54618,-1.89203,-1.89199
8.56725,-1.89498,-1.89494
8.58832,-1.89792,-1.89788
8.60939,-1.90085,-1.90081
8.63046,-1.90376,-1.90372
8.65153,-1.90665,-1.90661
8.67260,-1.90953,-1.90949
8.69367,-1.91239,-1.91236
8.71474,-1.91524,-1.91521
8.73581,-1.91808,-1.91805
8.75688,-1.92090,-1.92087
8.77795,-1.92371,-1.92367
8.79902,-1.92650,-1.92647
8.82009,-1.92928,-1.92925
8.84116,-1.93204,-1.93201
8.86223,-1.93479,-1.93476
8.88330,-1.93753,-1.93750
8.90437,-1.94025,-1.94022
8.92544,-1.94296,-1.94293
8.94651,-1.94566,-1.94563
8.96757,-1.94834,-1.94831
8.98864,-1.95101,-1.95098
9.00971,-1.95367,-1.95364
9.03078,-1.95631,-1.95629
9.05185,-1.95894,-1.95892
9.07292,-1.96156,-1.96154
9.09399,-1.96417,-1.96414
9.11506,-1.96676,-1.96673
9.13613,-1.96934,-1.96931
9.15720,-1.97190,-1.97188
9.17827,-1.97446,-1.97444
9.19934,-1.97700,-1.97698
9.22041,-1.97953,-1.97951
9.24148,-1.98205,-1.98203
9.26255,-1.98456,-1.98454
9.28362,-1.98705,-1.98703
9.30469,-1.98954,-1.98952
9.32576,-1.99201,-1.99199
9.34683,-1.99447,-1.99445
9.36790,-1.99691,-1.99690
9.38897,-1.99935,-1.99934
9.41004,-2.00178,-2.00176
9.43111,-2.00419,-2.00418
9.45218,-2.00659,-2.00658
9.47325,-2.00898,-2.00897
9.49432,-2.01136,-2.01135
9.51539,-2.01373,-2.01372
9.53646,-2.01609,-2.01608
9.55753,-2.01844,-2.01843
9.57860,-2.02077,-2.02077
9.59967,-2.02310,-2.02309
9.62074,-2.02542,-2.02541
9.64181,-2.02772,-2.02771
9.66288,-2.03001,-2.03001
9.68395,-2.03230,-2.03229
9.70502,-2.03457,-2.03457
9.72609,-2.03684,-2.03683
9.74716,-2.03909,-2.03909
9.76823,-2.04133,-2.04133
9.78930,-2.04356,-2.04356
9.81037,-2.04579,-2.04579
9.83144,-2.04800,-2.04800
9.85251,-2.05020,-2.05020
9.87358,-2.05240,-2.05240
9.89465,-2.05458,-2.05458
9.91572,-2.05676,-2.05676
9.93679,-2.05892,-2.05892
9.95786,-2.06108,-2.06108
9.97893,-2.06322,-2.06323
10.00000,-2.06536,-2.06536
