# s [m_b^2],Re disc 2-loop,Im disc 2-loop,Re disc fit,Im disc fit
0.00010,-0.00000,0.00000,0.00000,0.00000
0.00679,-0.00000,0.00000,0.00000,0.00000
0.01348,-0.00000,0.00000,0.00000,0.00000
0.02017,-0.00000,0.00000,0.00000,0.00000
0.02685,-0.00000,0.00000,0.00000,0.00000
0.03354,-0.00000,0.00000,0.00000,0.00000
0.04023,-0.00000,0.00000,0.00000,0.00000
0.04692,-0.00000,0.00000,0.00000,0.00000
0.05361,-0.00000,0.00000,0.00000,0.00000
0.06030,-0.00000,0.00000,0.00000,0.00000
0.06699,-0.00000,0.00000,0.00000,0.00000
0.07367,-0.00000,0.00000,0.00000,0.00000
0.08036,-0.00000,0.00000,0.00000,0.00000
0.08705,-0.00000,0.00000,0.00000,0.00000
0.09374,-0.00000,0.00000,0.00000,0.00000
0.10043,-0.00000,0.00000,0.00000,0.00000
0.10712,-0.00000,0.00000,0.00000,0.00000
0.11381,-0.00000,0.00000,0.00000,0.00000
0.12050,-0.00000,0.00000,0.00000,0.00000
0.12718,-0.00000,0.00000,0.00000,0.00000
0.13387,-0.00000,0.00000,0.00000,0.00000
0.14056,-0.00000,0.00000,0.00000,0.00000
0.14725,-0.00000,0.00000,0.00000,0.00000
0.15394,-0.00000,0.00000,0.00000,0.00000
0.16063,-0.00000,0.00000,0.00000,0.00000
0.16732,-0.00000,0.00000,0.00000,0.00000
0.17400,-0.00000,0.00000,0.00000,0.00000
0.18069,-0.00000,0.00000,0.00000,0.00000
0.18738,-0.00000,0.00000,0.00000,0.00000
0.19407,-0.00000,0.00000,0.00000,0.00000
0.20076,-0.00000,0.00000,0.00000,0.00000
0.20745,-0.00000,0.00000,0.00000,0.00000
0.21414,-0.00000,0.00000,0.00000,0.00000
0.22082,-0.00000,0.00000,0.00000,0.00000
0.22751,-0.00000,0.00000,0.00000,0.00000
0.23420,-0.00000,0.00000,0.00000,0.00000
0.24089,-0.00000,0.00000,0.00000,0.00000
0.24758,-0.00000,0.00000,0.00000,0.00000
0.25427,-0.00000,0.00000,0.00000,0.00000
0.26096,-0.00000,0.00000,0.00000,0.00000
0.26765,-0.00000,0.00000,0.00000,0.00000
0.27433,-0.00000,0.00000,0.00000,0.00000
0.28102,-0.00000,0.00000,0.00000,0.00000
0.28771,-0.00000,0.00000,0.00000,0.00000
0.29440,-0.00000,0.00000,0.00000,0.00000
0.30109,-0.00000,0.00000,0.00000,0.00000
0.30778,-0.00000,0.00000,0.00000,0.00000
0.31447,-0.00000,0.00000,0.00000,0.00000
0.32115,-0.00000,-0.00000,0.00000,0.00000
0.32784,0.00000,-0.00000,0.00000,0.00000
0.33453,0.00000,-0.00000,0.00000,0.00000
0.34122,0.00000,-0.00000,0.00000,0.00000
0.34791,0.00000,-0.00000,0.00000,0.00000
0.35460,0.00000,-0.00000,0.00000,0.00000
0.36129,0.00000,-0.00000,0.00000,0.00000
0.36797,0.00000,-0.00000,0.00000,0.00000
0.37466,0.00000,-0.00000,0.00000,0.00000
0.38135,0.00000,-0.00000,0.00000,0.00000
0.38804,0.00000,-0.00000,0.00000,0.00000
0.39473,0.00000,-0.00000,0.00000,0.00000
0.40142,0.45509,0.06812,0.27726,0.05704
0.40811,1.06635,0.09077,0.68835,0.10273
0.41479,1.41061,0.03979,0.93047,0.08365
0.42148,1.66310,-0.04365,1.12051,0.03201
0.42817,1.86171,-0.14876,1.27969,-0.03732
0.43486,2.02252,-0.27043,1.41848,-0.12264
0.44155,2.15419,-0.40565,1.53472,-0.22524
0.44824,2.26196,-0.55247,1.64546,-0.34215
0.45493,2.34931,-0.70954,1.73791,-0.47395
0.46162,2.41862,-0.87586,1.81698,-0.61514
0.46830,2.47162,-1.05068,1.88793,-0.76546
0.47499,2.50959,-1.23345,1.94837,-0.92911
0.48168,2.53345,-1.42370,1.99732,-1.10356
0.48837,2.54390,-1.62108,2.03516,-1.28828
0.49506,2.54146,-1.82534,2.06166,-1.48344
0.50175,2.52649,-2.03624,2.07966,-1.68995
0.50844,2.49925,-2.25361,2.08771,-1.90357
0.51512,2.45989,-2.47734,2.08387,-2.12541
0.52181,2.40846,-2.70732,2.06721,-2.35610
0.52850,2.34497,-2.94348,2.03671,-2.59724
0.53519,2.26934,-3.18578,1.99804,-2.85085
0.54188,2.18143,-3.43420,1.94687,-3.10855
0.54857,2.08104,-3.68873,1.87933,-3.37498
0.55526,1.96792,-3.94938,1.79950,-3.65562
0.56194,1.84177,-4.21618,1.70807,-3.93948
0.56863,1.70222,-4.48916,1.59706,-4.23213
0.57532,1.54887,-4.76838,1.47499,-4.53852
0.58201,1.38125,-5.05389,1.33556,-4.84698
0.58870,1.19883,-5.34577,1.17618,-5.16993
0.59539,1.00102,-5.64408,1.00508,-5.49616
0.60208,0.78719,-5.94892,0.80796,-5.83146
0.60877,0.55661,-6.26037,0.59986,-6.17775
0.61545,0.30851,-6.57853,0.36439,-6.52710
0.62214,0.04203,-6.90349,0.11286,-6.89036
0.62883,-0.24376,-7.23537,-0.16574,-7.25410
0.63552,-0.54988,-7.57426,-0.46436,-7.63248
0.64221,-0.87744,-7.92027,-0.79157,-8.01014
0.64890,-1.22767,-8.27351,-1.14171,-8.40244
0.65559,-1.60189,-8.63407,-1.52383,-8.79343
0.66227,-2.00155,-9.00205,-1.93076,-9.19863
0.66896,-2.42822,-9.37753,-2.37499,-9.60294
0.67565,-2.88364,-9.76061,-2.84498,-10.02076
0.68234,-3.36969,-10.15134,-3.35660,-10.44260
0.68903,-3.88843,-10.54977,-3.88980,-10.86949
0.69572,-4.44213,-10.95594,-4.47179,-11.30105
0.70241,-5.03328,-11.36985,-5.08519,-11.72972
0.70909,-5.66460,-11.79145,-5.74836,-12.16931
0.71578,-6.33909,-12.22070,-6.45448,-12.60199
0.72247,-7.06007,-12.65746,-7.20960,-13.04723
0.72916,-7.83119,-13.10156,-8.02152,-13.48545
0.73585,-8.65649,-13.55275,-8.88150,-13.93404
0.74254,-9.54045,-14.01070,-9.81198,-14.38413
0.74923,-10.48806,-14.47496,-10.79370,-14.83671
0.75592,-11.50485,-14.94496,-11.83960,-15.29549
0.76260,-12.59703,-15.41999,-12.95686,-15.73823
0.76929,-13.77153,-15.89913,-14.15110,-16.18850
0.77598,-15.03612,-16.38125,-15.44056,-16.62744
0.78267,-16.39957,-16.86495,-16.81062,-17.06663
0.78936,-17.87179,-17.34846,-18.29463,-17.50488
0.79605,-19.46398,-17.82965,-19.88588,-17.92688
0.80274,-21.18893,-18.30585,-21.60322,-18.35426
0.80942,-23.06121,-18.77379,-23.46583,-18.76253
0.81611,-25.09754,-19.22942,-25.47132,-19.16825
0.82280,-27.31722,-19.66778,-27.66234,-19.56160
0.82949,-29.74254,-20.08268,-30.03861,-19.92668
0.83618,-32.39950,-20.46647,-32.64075,-20.28150
0.84287,-35.31848,-20.80964,-35.49868,-20.59207
0.84956,-38.53532,-21.10028,-38.63625,-20.87477
0.85624,-42.09247,-21.32342,-42.12217,-21.10200
0.86293,-46.04068,-21.46018,-45.97660,-21.25399
0.86962,-50.44105,-21.48650,-50.29552,-21.32832
0.87631,-55.36781,-21.37154,-55.14078,-21.26778
0.88300,-60.91206,-21.07544,-60.61493,-21.06936
0.88969,-67.18682,-20.54605,-66.85043,-20.64530
0.89638,-74.33402,-19.71447,-73.98004,-19.95627
0.90306,-82.53443,-18.48835,-82.24160,-18.86712
0.90975,-92.02187,-16.74204,-91.81358,-17.18195
0.91644,-103.10431,-14.30146,-102.93514,-14.84166
0.92313,-116.19586,-10.92038,-116.11750,-11.59555
0.92982,-131.86706,-6.24181,-132.05883,-7.02279
0.93651,-150.92666,0.26721,-151.26217,-0.34464
0.94320,-174.56129,9.43101,-175.07876,8.80331
0.94989,-204.58645,22.58139,-205.29703,22.30767
0.95657,-243.92917,41.99098,-244.68863,41.81972
0.96326,-297.63732,71.82172,-298.16826,72.06470
0.96995,-375.23568,120.45355,-375.38981,121.05870
0.97664,-497.12772,207.18273,-496.63076,207.73799
0.98333,-716.40378,386.63630,-715.58633,386.23671
0.99002,-1228.30941,882.57445,-1227.52801,880.29545
0.99671,-3813.22916,4145.70704,-3818.24975,4143.12983
1.00339,0.00089,-4135.44195,0.00000,-4134.30389
1.01008,0.00008,-989.68538,0.00000,-989.26036
1.01677,0.00002,-488.76930,0.00000,-488.53816
1.02346,0.00001,-301.70407,0.00000,-301.56367
1.03015,0.00001,-208.13134,0.00000,-208.04395
1.03684,0.00000,-153.53222,0.00000,-153.47983
1.04353,0.00000,-118.45775,0.00000,-118.43033
1.05021,0.00000,-94.38590,0.00000,-94.37724
1.05690,0.00000,-77.04623,0.00000,-77.05221
1.06359,0.00000,-64.08495,0.00000,-64.10269
1.07028,0.00000,-54.10869,0.00000,-54.13605
1.07697,0.00000,-46.24538,0.00000,-46.28076
1.08366,0.00000,-39.92430,0.00000,-39.96646
1.09035,0.00000,-34.75800,0.00000,-34.80592
1.09704,0.00000,-30.47522,0.00000,-30.52810
1.10372,0.00000,-26.88106,0.00000,-26.93823
1.11041,0.00000,-23.83230,0.00000,-23.89319
1.11710,0.00000,-21.22160,0.00000,-21.28574
1.12379,0.00000,-18.96717,0.00000,-19.03415
1.13048,0.00000,-17.00569,0.00000,-17.07516
1.13717,0.00000,-15.28750,0.00000,-15.35914
1.14386,0.00000,-13.77315,0.00000,-13.84671
1.15054,0.00000,-12.43101,0.00000,-12.50622
1.15723,0.00000,-11.23539,0.00000,-11.31206
1.16392,0.00000,-10.16529,0.00000,-10.24322
1.17061,0.00000,-9.20341,0.00000,-9.28242
1.17730,0.00000,-8.33533,0.00000,-8.41527
1.18399,0.00000,-7.54900,0.00000,-7.62972
1.19068,0.00000,-6.83426,0.00000,-6.91564
1.19736,0.00000,-6.18251,0.00000,-6.26443
1.20405,0.00000,-5.58640,0.00000,-5.66875
1.21074,0.00000,-5.03964,0.00000,-5.12232
1.21743,0.00000,-4.53682,0.00000,-4.61974
1.22412,0.00000,-4.07326,0.00000,-4.15632
1.23081,0.00000,-3.64487,0.00000,-3.72801
1.23750,0.00000,-3.24812,0.00000,-3.33126
1.24418,0.00000,-2.87990,0.00000,-2.96297
1.25087,0.00000,-2.53746,0.00000,-2.62040
1.25756,0.00000,-2.21840,0.00000,-2.30115
1.26425,0.00000,-1.92059,0.00000,-2.00309
1.27094,0.00000,-1.64214,0.00000,-1.72434
1.27763,0.00000,-1.38136,0.00000,-1.46321
1.28432,0.00000,-1.13674,0.00000,-1.21820
1.29101,0.00000,-0.90696,0.00000,-0.98798
1.29769,0.00000,-0.69079,0.00000,-0.77133
1.30438,0.00000,-0.48715,0.00000,-0.56718
1.31107,0.00000,-0.29506,0.00000,-0.37455
1.31776,0.00000,-0.11365,0.00000,-0.19256
1.32445,0.00000,0.05789,0.00000,-0.02041
1.33114,0.00000,0.22028,0.00000,0.14263
1.33783,0.00000,0.37419,0.00000,0.29721
1.34451,0.00000,0.52021,0.00000,0.44393
1.35120,0.00000,0.65890,0.00000,0.58333
1.35789,0.00000,0.79074,0.00000,0.71592
1.36458,0.00000,0.91621,0.00000,0.84215
1.37127,0.00000,1.03572,0.00000,0.96244
1.37796,0.00000,1.14965,0.00000,1.07718
1.38465,0.00000,1.25836,0.00000,1.18671
1.39133,0.00000,1.36218,0.00000,1.29137
1.39802,0.00000,1.46140,0.00000,1.39145
1.40471,0.00000,1.55631,0.00000,1.48724
1.41140,0.00000,1.64717,0.00000,1.57898
1.41809,0.00000,1.73420,0.00000,1.66691
1.42478,0.00000,1.81764,0.00000,1.75126
1.43147,0.00000,1.89768,0.00000,1.83222
1.43816,0.00000,1.97451,0.00000,1.90999
1.44484,0.00000,2.04832,0.00000,1.98474
1.45153,0.00000,2.11927,0.00000,2.05664
1.45822,0.00000,2.18750,0.00000,2.12584
1.46491,0.00000,2.25317,0.00000,2.19248
1.47160,0.00000,2.31641,0.00000,2.25670
1.47829,0.00000,2.37734,0.00000,2.31862
1.48498,0.00000,2.43608,0.00000,2.37835
1.49166,0.00000,2.49274,0.00000,2.43601
1.49835,0.00000,2.54742,0.00000,2.49169
1.50504,0.00000,2.60022,0.00000,2.54550
1.51173,0.00000,2.65122,0.00000,2.59752
1.51842,0.00000,2.70052,0.00000,2.64784
1.52511,0.00000,2.74819,0.00000,2.69654
1.53180,0.00000,2.79432,0.00000,2.74368
1.53848,0.00000,2.83896,0.00000,2.78935
1.54517,0.00000,2.88218,0.00000,2.83361
1.55186,0.00000,2.92406,0.00000,2.87652
1.55855,0.00000,2.96464,0.00000,2.91814
1.56524,0.00000,3.00399,0.00000,2.95853
1.57193,0.00000,3.04215,0.00000,2.99773
1.57862,0.00000,3.07918,0.00000,3.03580
1.58531,0.00000,3.11513,0.00000,3.07279
