# s [m_b^2],Im disc 2-loop,Im disc fit
0.00010,0.00000,0.00000
0.00679,0.00000,0.00000
0.01348,0.00000,0.00000
0.02017,0.00000,0.00000
0.02685,0.00000,0.00000
0.03354,0.00000,0.00000
0.04023,0.00000,0.00000
0.04692,0.00000,0.00000
0.05361,0.00000,0.00000
0.06030,0.00000,0.00000
0.06699,0.00000,0.00000
0.07367,0.00000,0.00000
0.08036,0.00000,0.00000
0.08705,0.00000,0.00000
0.09374,0.00000,0.00000
0.10043,0.00000,0.00000
0.10712,0.00000,0.00000
0.11381,0.00000,0.00000
0.12050,0.00000,0.00000
0.12718,0.00000,0.00000
0.13387,0.00000,0.00000
0.14056,0.00000,0.00000
0.14725,0.00000,0.00000
0.15394,0.00000,0.00000
0.16063,0.00000,0.00000
0.16732,0.00000,0.00000
0.17400,0.00000,0.00000
0.18069,0.00000,0.00000
0.18738,0.00000,0.00000
0.19407,0.00000,0.00000
0.20076,0.00000,0.00000
0.20745,0.00000,0.00000
0.21414,0.00000,0.00000
0.22082,0.00000,0.00000
0.22751,0.00000,0.00000
0.23420,0.00000,0.00000
0.24089,0.00000,0.00000
0.24758,0.00000,0.00000
0.25427,0.00000,0.00000
0.26096,0.00000,0.00000
0.26765,0.00000,0.00000
0.27433,0.00000,0.00000
0.28102,0.00000,0.00000
0.28771,-0.00000,0.00000
0.29440,-0.00000,0.00000
0.30109,-0.00000,0.00000
0.30778,-0.00000,0.00000
0.31447,-0.00000,0.00000
0.32115,-0.00000,0.00000
0.32784,-0.00000,0.00000
0.33453,-0.00000,0.00000
0.34122,-0.00000,0.00000
0.34791,-0.00000,0.00000
0.35460,-0.00000,0.00000
0.36129,-0.00000,0.00000
0.36797,-0.00000,0.00000
0.37466,-0.00000,0.00000
0.38135,-0.00000,0.00000
0.38804,-0.00000,0.00000
0.39473,-0.00000,0.00000
0.40142,-0.18552,-0.14814
0.40811,-0.41956,-0.34418
0.41479,-0.53945,-0.45161
0.42148,-0.62034,-0.52834
0.42817,-0.67900,-0.58716
0.43486,-0.72275,-0.63360
0.44155,-0.75562,-0.67074
0.44824,-0.78010,-0.70051
0.45493,-0.79792,-0.72421
0.46162,-0.81030,-0.74281
0.46830,-0.81815,-0.75705
0.47499,-0.82218,-0.76749
0.48168,-0.82294,-0.77460
0.48837,-0.82090,-0.77877
0.49506,-0.81643,-0.78030
0.50175,-0.80982,-0.77949
0.50844,-0.80135,-0.77655
0.51512,-0.79124,-0.77169
0.52181,-0.77967,-0.76511
0.52850,-0.76681,-0.75695
0.53519,-0.75280,-0.74735
0.54188,-0.73777,-0.73645
0.54857,-0.72184,-0.72435
0.55526,-0.70509,-0.71117
0.56194,-0.68761,-0.69699
0.56863,-0.66948,-0.68191
0.57532,-0.65078,-0.66599
0.58201,-0.63155,-0.64931
0.58870,-0.61187,-0.63193
0.59539,-0.59177,-0.61392
